Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,22.96,23.26,22.91,23.04,7516400,23.04
2016-10-20,22.58,23.025,22.55,22.85,7935500,22.85
2016-10-19,22.50,22.53,22.04,22.47,8395500,22.47
2016-10-18,22.30,22.66,22.24,22.64,7468900,22.64
2016-10-17,22.35,22.62,22.29,22.39,5783500,22.39
2016-10-14,22.34,22.59,22.29,22.54,8096200,22.54
2016-10-13,23.11,23.22,22.67,22.75,8918500,22.75
2016-10-12,23.18,23.44,23.01,23.44,9728900,23.44
2016-10-11,23.73,23.87,23.60,23.80,7712900,23.80
2016-10-10,23.40,23.63,23.34,23.40,4454800,23.40
2016-10-07,23.20,23.40,23.00,23.30,9714500,23.30
2016-10-06,23.15,23.26,23.08,23.12,6839000,23.12
2016-10-05,22.74,22.95,22.67,22.85,5852200,22.85
2016-10-04,22.75,22.90,22.70,22.90,5744400,22.90
2016-10-03,22.61,22.87,22.50,22.75,4397600,22.75
2016-09-30,22.45,22.55,22.11,22.38,20484300,22.38
2016-09-29,22.22,22.54,22.08,22.40,12661200,22.40
2016-09-28,21.21,21.46,21.205,21.39,6593400,21.39
2016-09-27,21.35,21.52,21.17,21.50,8618400,21.50
2016-09-26,21.47,21.67,21.34,21.55,7155000,21.55
2016-09-23,21.30,21.57,21.28,21.53,9388800,21.53
2016-09-22,21.00,21.47,21.00,21.28,10225500,21.28
2016-09-21,20.64,20.88,20.53,20.72,8995300,20.72
2016-09-20,20.28,20.64,20.23,20.61,10168500,20.61
2016-09-19,19.93,20.23,19.90,20.14,1532100,20.14
2016-09-16,20.22,20.30,20.08,20.09,9163100,20.09
2016-09-15,19.93,20.10,19.84,20.07,9677100,20.07
2016-09-14,19.82,19.97,19.73,19.80,10664900,19.80
2016-09-13,20.46,20.48,19.985,20.00,8933400,20.00
2016-09-12,20.30,20.31,19.90,19.94,9088200,19.94
2016-09-09,20.45,20.87,20.33,20.78,10821200,20.78
2016-09-08,20.15,20.31,20.03,20.26,7622900,20.26
2016-09-07,20.65,20.73,20.42,20.50,11339000,20.50
2016-09-06,20.34,20.60,20.24,20.56,6537800,20.56
2016-09-05,20.26,20.405,20.19,20.34,6624300,20.34
2016-09-02,19.95,19.96,19.72,19.85,7831700,19.85
2016-09-01,19.90,19.90,19.71,19.84,8950500,19.84
2016-08-31,20.90,20.90,20.34,20.43,11025000,20.1654
2016-08-30,21.20,21.24,21.02,21.11,5534500,20.83659
2016-08-29,21.19,21.25,20.77,20.93,6307900,20.65892
2016-08-26,21.13,21.25,20.88,20.88,13108300,20.60957
2016-08-25,21.04,21.16,20.94,21.03,7126200,20.75763
2016-08-24,21.47,21.575,21.36,21.42,6789200,21.14258
2016-08-23,20.85,21.15,20.73,21.08,8158000,20.80698
2016-08-22,21.01,21.18,20.90,20.95,6077600,20.67867
2016-08-19,21.14,21.33,21.10,21.29,6541100,21.01426
2016-08-18,21.00,21.05,20.84,20.86,8602000,20.58983
2016-08-17,20.46,20.94,20.45,20.91,11388200,20.63918
2016-08-16,20.25,20.35,20.18,20.25,5058900,19.98773
2016-08-15,20.20,20.26,20.10,20.16,8568500,19.8989
2016-08-12,20.59,20.72,20.535,20.68,10805700,20.41216
2016-08-11,20.08,20.37,20.07,20.25,6810000,19.98773
2016-08-10,20.45,20.48,20.23,20.44,6886000,20.17527
2016-08-09,20.48,20.62,20.445,20.59,7804500,20.32333
2016-08-08,20.35,20.51,20.12,20.48,11039700,20.21475
2016-08-05,19.78,20.06,19.59,20.03,11304600,19.77058
2016-08-04,19.53,19.75,19.24,19.31,9815200,19.0599
2016-08-03,19.31,19.425,19.09,19.09,6027300,18.84276
2016-08-02,19.53,19.63,19.24,19.24,9847200,18.99081
2016-08-01,19.60,19.87,19.57,19.67,6897800,19.41524
2016-07-29,19.79,19.99,19.52,19.52,17386000,19.26719
2016-07-28,19.86,20.24,19.72,19.97,9329400,19.71136
2016-07-27,19.80,20.08,19.73,19.86,15795900,19.60278
2016-07-26,18.96,19.27,18.88,19.26,8470700,19.01055
2016-07-25,19.25,19.27,19.07,19.24,5791800,18.99081
2016-07-22,19.32,19.57,19.24,19.30,6721800,19.05003
2016-07-21,19.10,19.38,19.07,19.26,12628000,19.01055
2016-07-20,19.02,19.33,19.01,19.25,16121900,19.00068
2016-07-19,19.92,20.20,19.81,19.83,9095900,19.57317
2016-07-18,20.20,20.29,20.10,20.22,9240100,19.95812
2016-07-15,20.25,20.53,20.22,20.37,6503900,20.10618
2016-07-14,20.50,20.50,20.11,20.34,8583900,20.07657
2016-07-13,20.35,20.62,20.22,20.58,9932200,20.31346
2016-07-12,19.79,20.09,19.76,19.93,11299200,19.67188
2016-07-11,19.40,19.60,19.38,19.60,7153800,19.34615
2016-07-08,18.67,19.17,18.60,19.05,8441500,18.80327
2016-07-07,19.09,19.30,18.99,19.08,8829400,18.83288
2016-07-06,18.70,18.79,18.57,18.71,11162000,18.46768
2016-07-05,19.57,19.64,19.43,19.45,12696500,19.19809
2016-07-04,19.08,19.575,19.07,19.53,9667100,19.27706
2016-07-01,19.02,19.35,18.99,19.09,13975300,18.84276
2016-06-30,18.74,18.76,18.40,18.65,10597400,18.40845
2016-06-29,18.56,18.57,18.21,18.30,11173000,18.06299
2016-06-28,17.93,18.17,17.62,18.03,12635600,17.79648
2016-06-27,17.89,18.18,17.75,18.08,13337800,17.84584
2016-06-24,19.22,19.28,17.29,17.54,37038200,17.31283
2016-06-23,18.87,19.11,18.78,19.05,11808300,18.80327
2016-06-22,18.97,18.975,18.665,18.71,7347700,18.46768
2016-06-21,19.00,19.06,18.56,18.69,8735000,18.44794
2016-06-20,18.66,18.87,18.57,18.87,8894800,18.62561
2016-06-17,18.27,18.355,17.91,18.08,9093500,17.84584
2016-06-16,18.13,18.255,17.85,17.89,11647700,17.6583
2016-06-15,17.82,18.08,17.80,17.82,11849700,17.5892
2016-06-14,18.20,18.47,18.15,18.20,9708100,17.96428
2016-06-13,18.80,18.80,18.80,18.80,000,18.55651
2016-06-10,18.89,18.93,18.74,18.80,8564400,18.55651
2016-06-09,19.80,19.96,19.56,19.61,5852400,19.35602
2016-06-08,19.30,19.65,19.15,19.54,9103600,19.28693
2016-06-07,19.80,19.96,19.73,19.78,12457400,19.52382
2016-06-06,19.02,19.38,18.93,19.22,10845400,18.97107
2016-06-03,18.40,18.56,18.32,18.53,6118200,18.29001
2016-06-02,18.35,18.435,18.21,18.24,7870200,18.00376
2016-06-01,18.53,18.64,18.41,18.49,9345900,18.25053
2016-05-31,19.20,19.34,19.03,19.08,10484800,18.83288
2016-05-30,19.24,19.36,19.13,19.24,5461500,18.99081
2016-05-27,19.41,19.47,19.215,19.37,12472100,19.11913
2016-05-26,19.48,19.62,19.24,19.41,10095400,19.15861
2016-05-25,18.97,19.115,18.81,18.90,10027700,18.65522
2016-05-24,18.60,18.64,18.37,18.38,6713000,18.14195
2016-05-23,18.68,18.78,18.335,18.37,8769900,18.13208
2016-05-20,18.88,19.07,18.75,18.85,5521400,18.60586
2016-05-19,19.00,19.06,18.43,18.71,12554100,18.46768
2016-05-18,19.33,19.67,19.29,19.43,11436100,19.17835
2016-05-17,18.87,19.26,18.87,19.21,10068500,18.9612
2016-05-16,18.22,18.57,18.13,18.56,5944600,18.31962
2016-05-13,18.26,18.39,17.95,18.20,8889300,17.96428
2016-05-12,18.45,18.72,18.42,18.59,7977700,18.34923
2016-05-11,18.38,18.61,18.285,18.55,11026800,18.30975
2016-05-10,17.80,17.88,17.44,17.83,14681900,17.59907
2016-05-09,18.87,18.94,18.14,18.41,8882100,18.17156
2016-05-06,18.63,18.83,18.20,18.46,14786500,18.22091
2016-05-05,18.52,18.85,17.91,18.43,19541300,18.1913
2016-05-04,19.50,19.61,18.675,18.79,20447600,18.54664
2016-05-03,20.40,20.79,20.33,20.73,10725400,20.46151
2016-05-02,20.51,20.99,20.42,20.92,6594100,20.64905
2016-04-29,20.30,20.73,20.21,20.68,19944900,20.41216
2016-04-28,20.25,20.61,20.15,20.57,11634700,20.30359
2016-04-27,20.04,20.05,19.58,19.65,9443400,19.3955
2016-04-26,19.86,20.07,19.70,19.76,11535400,19.50408
2016-04-25,20.36,20.36,20.36,20.36,000,20.09631
2016-04-22,20.39,20.775,20.31,20.36,10788900,20.09631
2016-04-21,21.13,21.25,20.86,21.05,18382500,20.77737
2016-04-20,20.10,20.48,19.94,20.34,19345000,20.07657
2016-04-19,19.23,19.72,19.21,19.67,15679700,19.41524
2016-04-18,18.49,18.80,18.47,18.70,14866300,18.45781
2016-04-15,18.77,19.37,18.74,19.28,15596800,19.03029
2016-04-14,18.75,18.95,18.65,18.87,21751100,18.62561
2016-04-13,17.44,17.95,17.43,17.92,15559300,17.68791
2016-04-12,16.76,16.95,16.75,16.90,7532300,16.68112
2016-04-11,16.39,16.57,16.25,16.55,6306500,16.33565
2016-04-08,15.91,16.355,15.90,16.18,8164000,15.97044
2016-04-07,16.04,16.425,15.86,16.39,12092200,16.17772
2016-04-06,16.04,16.29,16.00,16.14,8715500,15.93096
2016-04-05,16.31,16.33,15.85,15.98,11075400,15.77303
2016-04-04,16.79,16.80,16.50,16.52,6501500,16.30604
2016-04-01,16.84,17.185,16.69,16.97,7957700,16.75021
2016-03-31,17.20,17.30,16.85,16.86,10837300,16.64164
2016-03-30,16.85,16.85,16.52,16.62,9845000,16.40475
2016-03-29,17.01,17.15,16.69,16.71,7510400,16.49358
2016-03-28,17.00,17.00,17.00,17.00,000,16.77982
2016-03-25,17.00,17.00,17.00,17.00,000,16.77982
2016-03-24,17.01,17.05,16.75,17.00,21322500,16.77982
2016-03-23,17.65,17.81,17.52,17.60,9844200,17.37205
2016-03-22,17.82,18.02,17.81,17.90,6857500,17.66817
2016-03-21,18.29,18.29,17.85,18.17,10307800,17.93467
2016-03-18,17.79,18.14,17.76,18.10,19416800,17.86558
2016-03-17,17.23,17.58,17.12,17.29,13904000,17.06607
2016-03-16,16.63,16.91,16.56,16.88,12521600,16.66138
2016-03-15,17.64,17.735,17.10,17.13,14086800,16.90814
2016-03-14,17.92,17.945,17.71,17.74,8539800,17.51024
2016-03-11,17.70,17.72,17.35,17.61,7938300,17.38192
2016-03-10,17.94,18.00,17.58,17.70,8457200,17.47076
2016-03-09,17.80,17.86,17.325,17.86,13900500,17.32734
2016-03-08,19.39,19.44,18.17,18.21,25330800,17.6669
2016-03-07,18.48,18.68,18.47,18.55,15283800,17.99676
2016-03-04,17.49,17.755,17.42,17.67,11339900,17.14301
2016-03-03,17.50,17.73,17.18,17.25,16153400,16.73553
2016-03-02,16.42,16.87,16.33,16.73,12803600,16.23104
2016-03-01,15.83,16.05,15.82,16.03,12728200,15.55192
2016-02-29,15.73,16.02,15.55,15.57,11495500,15.10564
2016-02-26,15.80,15.84,15.38,15.59,15210300,15.12504
2016-02-25,16.01,16.17,15.78,16.00,14839200,15.52281
2016-02-24,16.60,16.72,16.06,16.18,22617000,15.69744
2016-02-23,17.19,17.85,16.97,17.63,19850500,17.1042
2016-02-22,16.84,17.255,16.62,17.18,9112500,16.66762
2016-02-19,16.86,16.97,16.51,16.61,8579100,16.11462
2016-02-18,16.75,16.97,16.74,16.95,12921500,16.44448
2016-02-17,16.23,16.26,15.94,15.98,8432600,15.50341
2016-02-16,16.16,16.71,16.15,16.59,9409800,16.09522
2016-02-15,15.97,16.14,15.72,15.98,12598100,15.50341
2016-02-12,15.00,15.51,14.95,15.09,10155400,14.63995
2016-02-11,15.38,15.49,15.11,15.24,9018500,14.78548
2016-02-10,15.43,15.74,15.31,15.65,13211400,15.18325
2016-02-09,16.01,16.12,15.83,16.05,11128100,15.57132
2016-02-08,15.94,16.44,15.90,16.37,9486100,15.88178
2016-02-05,15.88,16.24,15.64,16.20,14958000,15.71685
2016-02-04,14.82,15.55,14.75,15.45,11707900,14.98922
2016-02-03,14.46,14.46,14.17,14.27,10015500,13.84441
2016-02-02,15.14,15.20,14.90,14.92,8230600,14.47502
2016-02-01,15.50,15.53,15.06,15.25,9375700,14.79518
2016-01-29,15.44,15.54,15.26,15.35,15611900,14.8922
2016-01-28,15.10,15.39,15.02,15.10,12842300,14.64965
2016-01-27,15.49,15.59,14.99,15.01,16437500,14.56234
2016-01-26,15.28,15.28,15.28,15.28,000,14.82429
2016-01-25,15.40,15.41,15.14,15.28,11537600,14.82429
2016-01-22,15.33,15.44,15.05,15.26,14977500,14.80488
2016-01-21,14.15,14.61,14.06,14.20,13959800,13.7765
2016-01-20,14.53,14.67,14.14,14.21,11597100,13.7862
2016-01-19,14.65,14.91,14.52,14.73,8899000,14.29069
2016-01-18,14.77,14.77,14.50,14.63,10779000,14.19367
2016-01-15,15.59,15.75,14.95,15.07,12651100,14.62055
2016-01-14,14.56,14.96,14.45,14.88,14582500,14.43622
2016-01-13,14.80,14.94,14.52,14.77,18806100,14.3295
2016-01-12,15.45,15.51,15.01,15.01,14763700,14.56234
2016-01-11,15.85,15.89,15.42,15.55,15213800,15.08623
2016-01-08,16.11,16.53,15.95,16.35,12562000,15.86237
2016-01-07,16.73,16.88,16.30,16.33,13342700,15.84297
2016-01-06,17.75,17.82,17.01,17.15,8606900,16.63851
2016-01-05,17.73,17.96,17.51,17.58,6668400,17.05569
2016-01-04,17.85,18.19,17.73,17.80,6135600,17.26913
2016-01-01,17.86,17.86,17.86,17.86,000,17.32734
2015-12-31,17.91,17.91,17.75,17.86,4094600,17.32734
2015-12-30,18.21,18.24,17.905,18.09,7319700,17.55048
2015-12-29,17.83,18.11,17.77,18.11,7379100,17.56988
2015-12-28,18.34,18.34,18.34,18.34,000,17.79302
2015-12-25,18.34,18.34,18.34,18.34,000,17.79302
2015-12-24,18.23,18.37,18.09,18.34,8315500,17.79302
2015-12-23,17.00,17.52,16.92,17.41,10145300,16.89076
2015-12-22,17.01,17.09,16.78,16.83,7424200,16.32806
2015-12-21,16.61,17.20,16.61,17.13,7998400,16.61911
2015-12-18,16.56,16.87,16.40,16.87,29004900,16.36687
2015-12-17,17.10,17.30,16.92,17.02,14462800,16.51239
2015-12-16,16.68,17.27,16.58,17.18,16246500,16.66762
2015-12-15,16.39,16.49,16.25,16.27,13155700,15.78476
2015-12-14,16.69,16.88,16.57,16.60,12262900,16.10492
2015-12-11,17.24,17.38,17.09,17.20,8561900,16.68702
2015-12-10,17.31,17.68,17.27,17.48,12247400,16.95867
2015-12-09,16.98,17.43,16.71,17.16,14841800,16.64822
2015-12-08,17.57,17.57,17.00,17.05,15685800,16.5415
2015-12-07,18.17,18.27,17.96,17.99,5438900,17.45346
2015-12-04,17.95,18.06,17.81,17.93,11359000,17.39525
2015-12-03,18.45,18.48,18.19,18.19,10125100,17.6475
2015-12-02,18.76,18.96,18.65,18.75,8431200,18.1908
2015-12-01,18.24,18.76,18.23,18.75,12481200,18.1908
2015-11-30,18.53,18.56,18.09,18.09,17886300,17.55048
2015-11-27,18.98,19.24,18.77,18.77,12322500,18.2102
2015-11-26,19.06,19.29,18.93,18.94,17380400,18.37513
2015-11-25,19.79,19.96,19.67,19.67,8408500,19.08336
2015-11-24,19.75,19.91,19.65,19.71,10358700,19.12216
2015-11-23,20.15,20.18,19.87,20.07,11339700,19.47143
2015-11-20,20.17,20.85,20.17,20.50,10186300,19.8886
2015-11-19,20.20,20.42,19.96,20.42,8911200,19.81099
2015-11-18,19.84,19.92,19.73,19.81,12397800,19.21918
2015-11-17,20.32,20.37,20.12,20.37,8433600,19.76248
2015-11-16,19.95,20.49,19.90,20.10,9743900,19.50053
2015-11-13,19.96,20.34,19.81,20.23,18111000,19.62666
2015-11-12,20.59,20.81,20.22,20.61,9410300,19.99532
2015-11-11,21.48,21.48,20.88,20.95,12977600,20.32518
2015-11-10,21.35,21.70,21.27,21.57,13141000,20.92669
2015-11-09,21.90,22.08,21.42,21.42,16516900,20.78117
2015-11-06,22.55,22.76,22.02,22.70,18098500,22.02299
2015-11-05,23.50,23.50,23.05,23.28,5707700,22.58569
2015-11-04,23.55,23.815,23.39,23.47,9388300,22.77003
2015-11-03,22.95,23.31,22.91,23.02,8546500,22.33345
2015-11-02,23.00,23.20,22.73,22.80,4960100,22.12001
2015-10-30,23.02,23.19,22.85,23.02,15178500,22.33345
2015-10-29,24.15,24.15,23.365,23.47,6624200,22.77003
2015-10-28,23.98,23.98,23.65,23.78,8227600,23.07078
2015-10-27,24.44,24.465,24.15,24.34,6770100,23.61408
2015-10-26,24.84,24.92,24.53,24.57,4778400,23.83722
2015-10-23,24.63,24.72,24.50,24.59,5772600,23.85662
2015-10-22,24.02,24.12,23.85,24.10,4350300,23.38124
2015-10-21,24.10,24.38,24.01,24.23,6071900,23.50736
2015-10-20,24.16,24.20,23.96,23.99,7455400,23.27452
2015-10-19,24.92,24.92,24.58,24.71,4683500,23.97304
2015-10-16,25.01,25.20,24.82,25.00,5971200,24.2544
2015-10-15,25.10,25.20,24.93,25.12,6697600,24.37082
2015-10-14,24.80,24.85,24.46,24.68,6609500,23.94394
2015-10-13,25.10,25.20,24.645,24.81,8439500,24.07006
2015-10-12,25.60,25.72,25.13,25.36,7434500,24.60366
2015-10-09,25.65,25.77,25.42,25.60,11193000,24.8365
2015-10-08,24.91,25.19,24.85,25.00,15006900,24.2544
2015-10-07,23.84,24.36,23.65,24.26,11951100,23.53647
2015-10-06,23.88,24.28,23.70,23.88,12072600,23.1678
2015-10-05,23.38,23.59,23.35,23.50,6972500,22.79913
2015-10-02,22.46,22.79,22.34,22.60,6211300,21.92597
2015-10-01,22.32,22.89,22.24,22.68,8294100,22.00359
2015-09-30,21.85,22.23,21.75,22.22,11592300,21.55731
2015-09-29,22.00,22.00,21.61,21.61,14024800,20.9655
2015-09-28,22.70,23.15,22.39,23.15,7100900,22.45957
2015-09-25,22.91,23.08,22.72,22.93,16211400,22.24613
2015-09-24,22.90,23.03,22.51,22.85,10029500,22.16852
2015-09-23,23.18,23.23,22.71,22.80,11257500,22.12001
2015-09-22,23.98,23.99,23.695,23.86,5198800,23.1484
2015-09-21,23.90,23.99,23.60,23.85,6761400,23.13869
2015-09-18,24.52,24.64,24.26,24.46,9190000,23.7305
2015-09-17,24.65,24.89,24.52,24.65,13779300,23.91483
2015-09-16,23.83,24.04,23.72,23.97,10812800,23.25511
2015-09-15,23.99,24.00,23.38,23.43,9395700,22.73122
2015-09-14,24.10,24.16,23.52,23.74,8202100,23.03197
2015-09-11,24.00,24.09,23.63,23.71,11459200,23.00287
2015-09-10,24.30,24.40,23.78,23.92,10633500,23.20661
2015-09-09,24.45,24.65,24.21,24.65,11532600,23.91483
2015-09-08,24.49,24.70,24.42,24.70,9385300,22.74674
2015-09-07,24.59,24.59,23.935,24.19,11750900,22.27707
2015-09-04,24.89,25.08,24.48,24.69,9475000,22.73753
2015-09-03,25.12,25.16,24.32,24.32,9939600,22.39679
2015-09-02,24.35,24.63,23.98,24.63,12300600,22.68228
2015-09-01,25.75,25.88,24.55,24.65,17132500,22.7007
2015-08-31,25.26,25.53,24.83,25.18,9054800,23.18878
2015-08-28,25.35,25.53,25.17,25.49,20000300,23.47427
2015-08-27,24.19,24.42,24.06,24.06,10618200,22.15735
2015-08-26,23.00,23.99,22.97,23.94,11993600,22.04684
2015-08-25,22.41,23.40,22.41,23.34,14089100,21.49429
2015-08-24,23.53,23.70,22.82,22.89,12841900,21.07987
2015-08-21,24.36,24.69,23.925,24.10,12556200,22.19419
2015-08-20,24.55,24.65,24.30,24.38,8924900,22.45205
2015-08-19,25.07,25.45,25.00,25.16,5719500,23.17037
2015-08-18,25.12,25.46,24.98,24.98,10466200,23.0046
2015-08-17,25.51,25.64,25.13,25.20,6476400,23.2072
2015-08-14,25.50,25.62,25.175,25.32,6241800,23.31771
2015-08-13,25.68,25.97,25.51,25.51,7764900,23.49269
2015-08-12,25.92,25.95,25.03,25.20,11647300,23.2072
2015-08-11,26.70,26.83,26.23,26.34,10040000,24.25705
2015-08-10,26.05,26.20,25.80,26.00,4194900,23.94394
2015-08-07,26.33,26.64,25.93,25.93,7075200,23.87947
2015-08-06,26.56,26.77,26.56,26.69,7579200,24.57937
2015-08-05,26.06,26.53,26.04,26.49,7900400,24.39519
2015-08-04,25.77,26.17,25.55,25.90,8736000,23.85185
