Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,74.89,74.97,74.39,74.90,2682000,74.90
2016-10-20,74.86,75.09,74.46,74.59,2268100,74.59
2016-10-19,74.68,74.965,74.42,74.74,2343500,74.74
2016-10-18,74.40,74.67,73.81,74.59,2662700,74.59
2016-10-17,74.58,74.98,74.36,74.37,2544300,74.37
2016-10-14,74.60,74.79,74.28,74.58,2258300,74.58
2016-10-13,74.60,74.815,74.34,74.53,2513500,74.53
2016-10-12,74.16,75.00,74.00,74.99,2726800,74.99
2016-10-11,74.87,75.13,74.53,74.61,2358100,74.61
2016-10-10,74.55,74.82,74.48,74.62,3195000,74.62
2016-10-07,74.30,74.54,74.00,74.38,2420400,74.38
2016-10-06,73.92,74.21,73.66,74.16,2179300,74.16
2016-10-05,73.04,73.79,73.01,73.59,2102700,73.59
2016-10-04,73.35,73.435,72.80,73.30,2115400,73.30
2016-10-03,72.94,73.84,72.92,73.50,1991600,73.50
2016-09-30,72.85,73.10,72.40,72.40,5946300,72.40
2016-09-29,73.35,73.50,73.05,73.50,2286600,73.50
2016-09-28,73.00,73.40,72.73,72.93,2214200,72.93
2016-09-27,72.73,72.94,72.20,72.70,3196200,72.70
2016-09-26,73.00,73.63,72.96,73.40,1815200,73.40
2016-09-23,72.86,73.59,72.85,73.40,3604700,73.40
2016-09-22,73.49,73.54,72.88,72.88,1993600,72.88
2016-09-21,72.62,73.055,72.28,72.89,3203700,72.89
2016-09-20,71.90,72.62,71.72,72.62,2664300,72.62
2016-09-19,72.15,72.21,71.68,72.21,683400,72.21
2016-09-16,71.84,72.40,71.66,72.24,4676100,72.24
2016-09-15,69.95,71.68,69.88,71.50,5687200,71.50
2016-09-14,69.32,70.23,69.22,70.16,4627000,70.16
2016-09-13,70.90,71.28,69.32,69.50,4750800,69.50
2016-09-12,69.94,70.46,69.71,70.22,5017100,70.22
2016-09-09,71.50,71.60,70.87,70.87,3309300,70.87
2016-09-08,72.60,72.66,71.51,72.06,3060500,72.06
2016-09-07,72.20,72.56,71.81,72.56,3360600,72.56
2016-09-06,72.47,72.47,71.61,71.76,2054700,71.76
2016-09-05,71.62,72.31,71.43,72.31,2493000,72.31
2016-09-02,71.38,71.45,70.82,70.91,3370100,70.91
2016-09-01,71.62,71.93,71.14,71.51,2982600,71.51
2016-08-31,72.53,72.61,71.685,71.81,6289500,71.81
2016-08-30,73.06,73.26,72.84,72.90,2403700,72.90
2016-08-29,73.10,73.35,72.47,72.64,2904700,72.64
2016-08-26,74.13,74.16,73.25,73.26,4685900,73.26
2016-08-25,74.47,74.495,73.93,74.00,2072200,74.00
2016-08-24,74.00,74.79,74.00,74.46,2530000,74.46
2016-08-23,73.59,73.99,73.45,73.85,2596000,73.85
2016-08-22,73.46,73.69,73.00,73.12,2485900,73.12
2016-08-19,73.12,73.66,72.77,73.45,2114300,73.45
2016-08-18,73.97,74.39,73.08,73.12,4316500,73.12
2016-08-17,73.50,74.20,73.44,74.04,6372600,74.04
2016-08-16,76.72,76.72,76.00,76.00,3271400,72.82857
2016-08-15,76.20,76.68,75.67,76.30,2708900,73.11605
2016-08-12,76.68,76.70,75.50,76.01,4395200,72.83816
2016-08-11,76.73,76.845,75.56,75.95,4329800,72.78065
2016-08-10,78.00,79.09,77.21,77.40,4090300,74.17015
2016-08-09,77.20,78.49,77.20,78.41,2757700,75.13801
2016-08-08,76.71,77.53,76.71,77.20,2543600,73.97849
2016-08-05,76.25,76.51,75.84,76.15,1922600,72.97231
2016-08-04,76.40,76.40,75.57,75.66,2939100,72.50276
2016-08-03,76.71,76.93,76.03,76.03,3144700,72.85732
2016-08-02,77.82,78.29,77.535,77.59,2991200,74.35222
2016-08-01,77.43,78.40,77.21,77.98,2044800,74.72595
2016-07-29,77.75,77.75,76.87,77.35,7235300,74.12223
2016-07-28,77.97,78.07,77.72,77.80,2126300,74.55346
2016-07-27,78.33,78.37,77.44,77.94,2730600,74.68762
2016-07-26,77.71,78.00,77.16,78.00,2646100,74.74511
2016-07-25,77.38,77.97,77.32,77.55,1978400,74.31389
2016-07-22,76.99,77.21,76.56,77.14,1858900,73.921
2016-07-21,77.56,77.58,76.69,77.03,3282600,73.81559
2016-07-20,76.20,76.87,75.90,76.76,2447300,73.55686
2016-07-19,76.35,76.35,75.34,76.02,1906100,72.84773
2016-07-18,76.20,76.40,75.74,76.10,1790800,72.9244
2016-07-15,75.93,76.43,75.69,75.94,2021500,72.77108
2016-07-14,75.15,75.62,75.10,75.61,2148200,72.45485
2016-07-13,75.16,75.25,74.72,74.89,2111200,71.76489
2016-07-12,74.50,75.17,74.41,74.50,2770700,71.39116
2016-07-11,73.50,74.20,73.34,74.10,3227700,71.00786
2016-07-08,72.46,72.57,72.06,72.41,1831000,69.38838
2016-07-07,72.75,73.10,72.01,72.50,3003400,69.47462
