Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,9.20,9.25,9.14,9.23,5455800,9.23
2016-10-20,9.35,9.36,9.15,9.17,6241600,9.17
2016-10-19,9.43,9.48,9.27,9.35,5935200,9.35
2016-10-18,9.30,9.48,9.29,9.40,15181700,9.40
2016-10-17,9.41,9.435,9.25,9.25,4883500,9.25
2016-10-14,9.45,9.51,9.39,9.45,5046400,9.45
2016-10-13,9.34,9.51,9.30,9.51,5779100,9.51
2016-10-12,9.28,9.38,9.25,9.38,4663700,9.38
2016-10-11,9.34,9.35,9.30,9.33,4054200,9.33
2016-10-10,9.33,9.39,9.315,9.35,2791600,9.35
2016-10-07,9.60,9.62,9.28,9.36,9220700,9.36
2016-10-06,9.55,9.59,9.50,9.59,3103500,9.59
2016-10-05,9.70,9.72,9.50,9.53,6751200,9.53
2016-10-04,9.74,9.77,9.65,9.73,4045700,9.73
2016-10-03,9.82,9.915,9.79,9.83,2378700,9.83
2016-09-30,9.74,9.77,9.65,9.73,5950200,9.73
2016-09-29,9.85,9.88,9.74,9.81,3156200,9.81
2016-09-28,9.94,9.95,9.80,9.83,3544700,9.83
2016-09-27,9.85,9.94,9.80,9.94,4058000,9.94
2016-09-26,9.75,9.90,9.72,9.90,3713500,9.90
2016-09-23,9.70,9.79,9.66,9.76,5390500,9.76
2016-09-22,9.73,9.80,9.66,9.70,5583400,9.70
2016-09-21,9.70,9.75,9.64,9.70,4366700,9.70
2016-09-20,9.68,9.72,9.60,9.68,5292900,9.68
2016-09-19,9.61,9.69,9.60,9.69,874800,9.69
2016-09-16,9.60,9.675,9.59,9.62,8911000,9.62
2016-09-15,9.53,9.62,9.475,9.59,8772300,9.59
2016-09-14,9.51,9.59,9.37,9.53,6527800,9.53
2016-09-13,9.66,9.75,9.55,9.56,5056300,9.56
2016-09-12,9.64,9.71,9.52,9.60,6088700,9.60
2016-09-09,9.80,9.94,9.75,9.90,5419600,9.90
2016-09-08,9.80,9.97,9.77,9.95,7599800,9.95
2016-09-07,10.00,10.04,9.84,9.88,9302800,9.88
2016-09-06,10.01,10.11,10.00,10.06,4532100,10.06
2016-09-05,10.14,10.20,10.12,10.15,3032000,10.15
2016-09-02,10.15,10.21,10.025,10.13,4399100,10.13
2016-09-01,10.23,10.25,10.15,10.22,4141700,10.22
2016-08-31,10.24,10.27,10.16,10.22,6687100,10.22
2016-08-30,10.38,10.38,10.24,10.28,3788600,10.28
2016-08-29,10.43,10.44,10.21,10.28,3888000,10.28
2016-08-26,10.44,10.53,10.42,10.43,3969500,10.43
2016-08-25,10.45,10.635,10.42,10.54,5210600,10.54
2016-08-24,10.35,10.49,10.35,10.48,4153300,10.48
2016-08-23,10.59,10.65,10.54,10.60,3677400,10.60
2016-08-22,10.45,10.54,10.41,10.51,2485100,10.51
2016-08-19,10.54,10.54,10.42,10.45,2373500,10.45
2016-08-18,10.54,10.55,10.41,10.50,3744100,10.50
2016-08-17,10.65,10.66,10.51,10.53,2255200,10.53
2016-08-16,10.56,10.64,10.53,10.57,4207300,10.57
2016-08-15,10.44,10.54,10.41,10.52,2211700,10.52
2016-08-12,10.61,10.65,10.33,10.44,6324000,10.44
2016-08-11,10.62,10.635,10.455,10.50,3460600,10.50
2016-08-10,10.53,10.75,10.52,10.72,6342100,10.55718
