Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,25.00,25.37,24.98,25.29,5943100,25.29
2016-10-20,24.99,24.99,24.83,24.91,5747800,24.91
2016-10-19,24.49,24.88,24.45,24.76,3353200,24.76
2016-10-18,24.37,24.50,24.25,24.36,3134200,24.36
2016-10-17,24.24,24.40,24.20,24.25,1502800,24.25
2016-10-14,24.39,24.50,24.24,24.28,1980200,24.28
2016-10-13,24.01,24.31,24.01,24.22,2808900,24.22
2016-10-12,24.07,24.25,24.015,24.22,3914000,24.22
2016-10-11,24.15,24.30,24.05,24.10,3434500,24.10
2016-10-10,24.05,24.10,23.89,23.97,3475100,23.97
2016-10-07,23.98,24.10,23.72,23.89,2827700,23.89
2016-10-06,23.47,23.93,23.40,23.91,3066800,23.91
2016-10-05,23.28,23.40,23.16,23.30,1721900,23.30
2016-10-04,23.30,23.33,23.13,23.27,2549600,23.27
2016-10-03,23.27,23.45,23.225,23.37,1407400,23.37
2016-09-30,23.40,23.435,22.91,23.27,5515000,23.27
2016-09-29,23.08,23.37,22.70,23.33,2501100,23.33
2016-09-28,22.90,23.09,22.83,22.95,3456600,22.95
2016-09-27,22.51,22.72,22.37,22.52,5685300,22.52
2016-09-26,23.05,23.21,22.81,22.85,3134000,22.85
2016-09-23,22.87,23.41,22.72,23.35,5247100,23.35
2016-09-22,22.76,22.91,22.64,22.75,2478100,22.75
2016-09-21,22.60,22.85,22.58,22.76,3175700,22.76
2016-09-20,22.49,22.78,22.48,22.78,2782100,22.78
2016-09-19,22.40,22.71,22.40,22.53,700600,22.53
2016-09-16,22.53,22.60,22.48,22.52,5012900,22.52
2016-09-15,22.35,22.60,22.345,22.49,3906800,22.49
2016-09-14,22.40,22.61,22.32,22.50,3271600,22.50
2016-09-13,22.37,22.55,22.28,22.42,3848200,22.42
2016-09-12,22.44,22.65,22.32,22.32,3278500,22.32
2016-09-09,22.92,22.99,22.55,22.85,3893500,22.85
2016-09-08,23.55,23.60,23.10,23.27,5323600,23.27
2016-09-07,23.80,24.14,23.80,24.12,3612900,23.64857
2016-09-06,24.04,24.12,23.97,24.12,2904500,23.64857
2016-09-05,23.91,24.05,23.80,24.05,2424700,23.57994
2016-09-02,23.80,23.98,23.53,23.98,3061100,23.51131
2016-09-01,23.60,23.915,23.41,23.91,3827000,23.44268
2016-08-31,24.00,24.12,23.585,23.71,4005700,23.24659
2016-08-30,24.71,24.73,24.13,24.13,3522400,23.65838
2016-08-29,24.80,24.90,24.625,24.71,2984700,24.22704
2016-08-26,24.62,25.08,24.50,24.90,9499800,24.41333
2016-08-25,25.85,26.05,25.115,25.17,17386200,24.67805
2016-08-24,24.22,24.22,24.22,24.22,000,23.74662
2016-08-23,24.20,24.26,23.94,24.22,3166700,23.74662
2016-08-22,23.87,24.11,23.81,24.10,3246600,23.62896
2016-08-19,23.79,23.95,23.70,23.90,2393000,23.43287
2016-08-18,23.74,23.76,23.54,23.75,3124900,23.2858
2016-08-17,23.40,23.65,23.36,23.57,1564700,23.10932
2016-08-16,23.40,23.48,23.25,23.37,2679500,22.91323
2016-08-15,23.44,23.58,23.30,23.49,1994300,23.03089
2016-08-12,23.30,23.41,23.00,23.40,2806800,22.94264
2016-08-11,23.03,23.21,22.82,23.10,2032200,22.64851
2016-08-10,23.10,23.19,23.02,23.10,1692700,22.64851
2016-08-09,23.32,23.42,23.13,23.20,2849000,22.74655
2016-08-08,23.50,23.73,23.37,23.40,1953300,22.94264
2016-08-05,23.50,23.56,23.37,23.41,2021800,22.95245
2016-08-04,23.42,23.71,23.38,23.57,3829500,23.10932
2016-08-03,23.39,23.63,23.25,23.37,3231400,22.91323
2016-08-02,23.57,23.84,23.49,23.63,4134300,23.16815
2016-08-01,23.41,23.69,23.41,23.57,2229000,23.10932
2016-07-29,23.40,23.50,23.34,23.41,6434900,22.95245
2016-07-28,23.35,23.58,23.33,23.40,2858100,22.94264
2016-07-27,23.43,23.49,23.28,23.42,2847600,22.96225
2016-07-26,23.67,23.755,23.34,23.50,10403600,23.04069
2016-07-25,23.02,24.37,23.01,24.30,12350100,23.82505
2016-07-22,22.60,22.67,22.34,22.45,4290600,22.01121
2016-07-21,22.75,22.86,22.63,22.66,3663900,22.21711
2016-07-20,22.26,22.68,22.26,22.52,2805300,22.07985
2016-07-19,22.10,22.26,22.08,22.20,2528600,21.7661
2016-07-18,21.51,22.04,21.47,21.95,3246900,21.52099
2016-07-15,21.59,21.63,21.49,21.53,1974400,21.1092
2016-07-14,21.45,21.64,21.38,21.47,2103900,21.05037
2016-07-13,21.28,21.38,21.18,21.34,1996500,20.92291
2016-07-12,21.44,21.45,21.15,21.20,2466600,20.78565
2016-07-11,20.85,21.31,20.85,21.31,3200400,20.89349
2016-07-08,20.60,20.67,20.52,20.61,1800600,20.20718
2016-07-07,20.72,20.75,20.61,20.67,1992300,20.266
2016-07-06,20.50,20.57,20.30,20.50,2789300,20.09933
2016-07-05,20.85,20.88,20.57,20.62,1815300,20.21698
2016-07-04,20.74,20.84,20.61,20.82,1812400,20.41307
2016-07-01,20.75,20.88,20.66,20.74,2708700,20.33463
2016-06-30,20.85,21.00,20.74,20.89,4397500,20.4817
2016-06-29,20.75,20.90,20.71,20.72,3077800,20.31503
2016-06-28,20.38,20.71,20.35,20.63,3293800,20.22678
2016-06-27,20.46,20.745,20.38,20.68,2186000,20.27581
2016-06-24,21.00,21.08,20.34,20.56,4852200,20.15815
